,Post
0,Hi! Please let us know how we can help.
1,Chillox
2,Burgers || Fries || Shakes 100% halal
3,Burgers || Fries || Shakes 100% halal
4,Burgers || Fries || Shakes 100% halal
5,Burgers || Fries || Shakes 100% halal
6,"344,838 people like this including 4 of your friends"
7,"349,833 people follow this"
8,"3,580 people checked in here"
9,09678-361361
10,Very responsive to messagesSend message
11,chillox.burgers@gmail.com
12,Price range  · $
13,Burger Restaurant
14,See menu
15,chillox.burgers
16,"Deshi fathers react to Chillox food for father's day 👨🏽‍🦰
We are not definitely not nervous 👀🥶

Happy Father's day to every lovely father out there!"
17,Pinned post
18,Chillox  · esSdpotonrmJh243a72c145414le54u0460904gta773nf1hgai1 i6207ug  · Shared with Public
19,Deshi fathers react to Chillox food for father's day We are not definitely not nervous Happy Father's day to every lovely father out there!
20,Fathers trying out Chillox (Deshi Reacts × Chillox) | Brand Collaborationতুষার
21,Other posts
22,Chillox  ·   · Shared with Public
23,Guess our new outlet location in the comment section. Lucky 10 commenters will get a free burger there  
24,আব্দুল্লাহ আলGuess our new outlet location in the comment section. Lucky 10 commenters will get a free burger there  
25,Chillox  ·   · Shared with Public
26,Having a Naga Drum 
27,আব্দুল্লাহ আলHaving a Naga Drum 
28,Chillox  ·   · Shared with Public
29,"Our Bashundhara branch is closed for the day due to restaurant maintenance. Chill, we will be open again for both dine-in and takeaways from tomorrow!"
30,Chillox  ·   · Shared with Public
31,KhaoDaoapp  ·   · Shared with Public
32,"100 taka flat discount at ""Chillox""Get 100 taka flat discount on your order.Min order: 299tkCode:KDNEWGet ready and don't forget to download the app.ড… See more"
33,KhaoDao - Apps on Google PlayA food ordering platform to order directly from the table at your restaurant
34,Chillox  ·   · Shared with Public
35,Congratulations Bangladesh Women's team for their thrilling performance in SAFF Women’s Championship 2022 Gg wp 
36,"আব্দুল্লাহ আলCongratulations Bangladesh Women's team for their thrilling performance in SAFF Women’s Championship 2022 
Gg wp "
37,Chillox  ·   · Shared with Public
38,Here’s to all কোঁকড়া চুল ! Happy Afro Day #worldafroday #chillox
39,আব্দুল্লাহ আলতুষার
40,Chillox  ·   · Shared with Public
41,Give Your Best Shot 
42,আব্দুল্লাহ আলGive Your Best Shot 
43,Chillox  ·   · Shared with Public
44," Welcoming our new Chatgaiya bro, The Lone Star Steakhouse! The best burger and the best steak are now under the same roof! Location: https://maps.app.goo.gl/KTFvmiAwPw2GthZ58"
45,"আব্দুল্লাহ আল Welcoming our new Chatgaiya bro, The Lone Star Steakhouse!

 The best burger and the best steak are now under the same roof!

 Location: https://maps.app.goo.gl/KTFvmiAwPw2GthZ58"
46,Chillox  ·   · Shared with Public
47,Get Your Shakes On 
48,আব্দুল্লাহ আলGet Your Shakes On 
49,Chillox  ·   · Shared with Public
50,
51,Dubai to Bangladeshi just for burgerতুষার
52,Life of Armayra  ·   · Shared with Public
53,দুবাই থেকে বাংলাদেশ আসলো তার favourite Chillox এর Burger খেতে আরমানের মত Burger প্রেমী আমি কম দেখেছি।দুনিয়ার যেই প্রান্তেই যাবে  উনি burger ই order করবে… See more
54,Chillox  ·   · Shared with Public
55,In a Perfect World  
56,আব্দুল্লাহ আলIn a Perfect World  
57,Chillox  ·   · Shared with Public
58,The season is knocking at the door! Yet your better half can be  You know.... 
59,আব্দুল্লাহ আলThe season is knocking at the door! Yet your better half can be  You know.... 
60,Chillox  ·   · Shared with Public
61,"চিলক্সে গিয়েছিলাম গতকাল দুপুরে আমার হাসব্যান্ড ও তার কাজিনের সাথে। আমি গিয়ে বসলাম কর্ণারের ৩ সিটের সোফায়; আমি ছিলাম এক সাইডে অন্য সাইডে আমার স্বামীর কাজিন বসলো, মাঝখানে ফাঁকা। আমার হাসব্যান্ড‌ না‌ বসে দাঁড়িয়ে রইল, কোনো কথা না বলে আমার দিকে তাকিয়ে থাকলো কিছুক্ষণ। আমি কিছু বুঝে উঠতে পারছিলাম না। এরপর ও দ্রুত সোজা স্মোকিং জোনে চলে গেলো, আমিও দ্রুত উঠে ওর পিছু পিছু স্মোকিং জোনে গেলাম। জিজ্ঞেস করলাম কি হইছে কোনো উত্তর দিচ্ছিলো না। খেয়াল করলাম চোখ লাল হয়ে গেছে মুহূর্তেই গ… See more"
